post_id,comment_id,user_id,date,text
119171,119173,69288586,1759516473,"Заказала пиццу в 19:50, оплатила картой, должны были доставить через 50 минут. Сейчас 21:35, пиццы до сих пор нет! 
Телефон ресторана недоступен! На сайте не отвечают! Вконтакте не отвечают!"
119160,119163,864255490,1759396402,"Яркую пиццу-
Осенний листок!🍁 😂
Возьми и попробуй!
Мой милый, дружок!
Ведь, Папа старался! 
И Джонс-вместе с ним 😊 

Откусишь кусочек - 
О, чудо - сойдёт!!! 🤣
Окажешься - в Риме! 
На острове - Капри!
В США - попадёшь!

Гавайи - обьедешь,
А может быть -
Съешь!!!!
Вернёшься - обратно,
И снова-обед!!!

И так - бесконечно!
Сплошной - кругоход! 
Ведь с Папой и Джонсом, 
Голодным, 
НИКТО - не уснёт!!! 😊"
119160,119167,38743644,1759406613,Девушки! Ваши улыбки делают окружающих счастливее- улыбайтесь чаще вместе с Папой Джонсом!😉
119160,119174,143933669,1759591370,"Заказали пиццу, должны были привезти в 17.05, на данный момент 18.21, пиццы нет, день рождение испорчен, все остались голодные, ни один телефон не отвечает, в чате с поддержкой игнор! Отвратительное обслуживание!"
119160,119176,76070663,1759679613,"Аналогичная ситуация, деньги списаны, до свидания
Заказали в 16:30, время 18:55, денег нет, пиццы нет
Приложение с багами, поддержке абсолютно все равно, по номеру телефона никто не отвечает
Если у вас выходные, может не стоит заказы принимать тогда? 
Почему вы еще существуете с таким подходом к заказам и покупателям"
119160,119177,515096270,1759688124,"Тоже с этим ужасом столкнулись.
Заказ был оформлен в пол 7 вечера. Время 21:15. Ни пиццы ни денег, телефоны не доступны. Юрловский проезд, д5- закройте пожалуйста эту багадельню."
119160,119217,491129040,1760119518,"Сегодня я мечтал получить вовремя пиццу. Спасибо, вы развеяли эти мечты, словно осенние листья. Продолжайте в таком же духе, пробивайте дно за дном день за днем! 
 
Заказ moscow-49-54329662-P 
оплачено в 19:36 
в 21:03 все еще нет не только пиццы, но и извинений хотя бы или возврата денег.... 
расстояние до ближайшей пиццерии от меня - 7 минут на машине. пешком 23 минуты. а у вас как всегда - на барже плывете, по яузе? где заказ?"
119160,119222,19835275,1760126547,Личные сообщения больше не читаете?
119160,119258,353851361,1760265710,"справа явно щербакова. посередине, скорее всего, мейханаджян. левая ни с кем не ассоциируется :) видимо, это мы, участницы конкурса :D"
119160,119262,2476408,1760337078,"Добрый день! Заказал пиццу ее не привезли. Как вернуть деньги?

moscow-96-54219675-iP"
119160,119265,253768897,1760348321,"moscow-52-54325062-iPD
Заказ не привезли полностью
Мне все еще ждать мой заказ? Уже четвертый день жду! Или может просто деньги вернете?"
119160,119275,66599543,1760470388,"Когда в Ватикане выбрали нового Папу по имени ""Джонс"", из трубы пошел белый дым с ароматом свежеиспеченной пиццы!"
119160,119280,40043743,1760524301,"Один кормит обещаниями, другой — пиццей. 
Вывод очевиден 😜🍕"
119160,119328,142131,1761054426,"Друзья мои, послушайте балладу о Папе Джоне, 
Короле пиццы, что обещает рай на земле! 
""Лучшие ингредиенты!"" – кричит он гордо, 
Но в коробке – сыр, что тверд, как камень в горе. 
 
Заказываешь пиццу с пепперони и сыром, 
А привозят через час – холодную, как лед. 
""Быстрая доставка!"" – лозунг их звучит так сладко, 
Но курьер едет медленно, как черепаха в саду. 
 
Ингредиенты свежие? О да, как бабушкины слёзы! 
Тесто тонкое, соус красный, но вкус – загадка. 
""Лучше, чем у мамы!"" – хвастается Папа Джон, 
А мама твоя смеётся: ""Мой рецепт – чемпион!"" 
 
Цена кусает, как злой пёс, за ""семейный"" рецепт, 
Но мы едим и возвращаемся, как дети на праздник. 
Спасибо, Папа Джон, за уроки терпения, 
Ты делаешь голод вечным, а юмор – вдохновением!"
119160,119353,28616013,1761469400,"Девочки питаются какой-то зеленью, а настоящие женщины - пиццей💯💯💯"
119160,119365,369793911,1761674077,"Папа,а где Джонс?
Пицца готова!!!
И так,варианты,как менялся Папа Джонс(или как его представляли в то или иное время).Наше время.
Молодежный сленг:Джопинс,Па-Ципа готова!
Век Фокс:Представляет-Джонсис Парис и Папунье!!!
Время зарождения творчества:ДЖОН Папье-маше Пицц.
Новая порода:Джони Ш-Пицц(а).
Наше время:Джонс,где последние 2 буквы заменялись бы буквами НЗ.Но оригинал не испортишь.Ешьте пицу,жуйте жвачку.
Ну а вы придумывайте свою версию вкусной пиццы Папа Джонс."
119160,119373,27677939,1761793405,"Вы меня стали стать лучшей версией себя? Моложе, стройнее, красивее? А вот пицца Папа Джонс нет - она идеальна всегда"
119153,119154,689670,1759234147,Отзыв не дают оставить
119149,119150,281662013,1758901565,😼✌
119149,119151,258262207,1758960609,Где мои деньги за отмененный заказ спустя 2 часа? Причём без объяснения причины
119149,119161,2476408,1759329175,"Добрый день! Мне не привезли заказ за 1,5 часа. Как вернуть деньги за заказ? moscow-96-54219675-iP"
119143,119145,174316946,1758633494,"Как воспользоваться акцией https://papajohns.ru/moscow/stock/skazite-gromko-syyyyyyr — пицца стоит 490 рублей, а не 290? Заказываю в пиццерии в Москве на Пресненской набережной"
119143,119164,864255490,1759396541,"Яркую пиццу-
Осенний листок!🍁 😂
Возьми и попробуй!
Мой милый, дружок!
Ведь, Папа старался! 
И Джонс-вместе с ним 😊 

Откусишь кусочек - 
О, чудо - сойдёт!!! 🤣
Окажешься - в Риме! 
На острове - Капри!
В США - попадёшь!

Гавайи - обьедешь,
А может быть -
Съешь!!!!
Вернёшься - обратно,
И снова-обед!!!

И так - бесконечно!
Сплошной - кругоход! 
Ведь с Папой и Джонсом, 
Голодным, 
НИКТО - не уснёт!!! 😊"
119130,119132,18199188,1758600473,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119130,119138,234701126,1758601094,Верните деньги за мой заказ! Сколько можно игнорировать?
119126,119127,18199188,1758308485,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119126,119139,234701126,1758601129,Верните деньги за мой заказ! Хватит игнорировать проблемы!
119120,119133,18199188,1758600480,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119117,119118,9477765,1758204229,"30см за 1130? Вы с ума сошли, ребята..."
119117,119134,18199188,1758600487,Просто конченные дебилы . Просто похерили и не привезли заказ потому что курьеру негде встать . Сервис
119107,119109,102386766,1758111593,"Пожелаю я.Александр, русская легенда хокея- успехов спортивных, забей2 т. шайбу, здоровья крепкого!🥳🥇🏒. Будь номер 1в хокее. 🏒"
119107,119110,484346567,1758114518,С др короче!
119107,119111,140786176,1758122880,"С Днём Рождения,  Александр!!! 🎂 ✨️✨️✨️🎉🎉🎉
Желаю новых побед,  быть всегда первым , успехов и благополучия!!! ✨️✨️✨️🏒🥇🏆🎉🎉🎉"
119107,119112,151152063,1758124107,"Добрый день! А у вас поддержка работает вообще? А то такое ощущение, что нет"
119107,119113,504447120,1758125702,С Днем рождения! Легенда.
119107,119114,30174976,1758126251,"Александр!!! Вы уже стали Легендой 🎖️ при жизни! Поэтому желаю вам оставшуюся часть жизни наслаждаться всем, чем вы занимаетесь и пусть у Вас всё будет хорошо!!! 🎉"
